concern,skin_type,ingredients,benefits,directions,brands,notes
makeup irritation,dry,"licorice root, niacinamide",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Biossance, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
eczema,oily,"cholesterol, colloidal oatmeal",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Murad, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,oily,"collagen, bakuchiol",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Cosrx, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"aloe vera, calendula",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Naturium, Simple",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,sensitive,"niacinamide, salicylic acid",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Glow Recipe, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,combination,"glycerin, ceramides",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Cetaphil, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
acne,sensitive,"azelaic acid, benzoyl peroxide",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Peter Thomas Roth, Simple",Avoid mixing strong actives; discontinue if irritation occurs
acne,combination,"salicylic acid, azelaic acid",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Clinique, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,normal,"bakuchiol, peptides",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Neutrogena, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,combination,"niacinamide, licorice root",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Minimalist, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,normal,"licorice root, niacinamide",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Biossance, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,sensitive,"calendula, aloe vera",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Aveeno, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,combination,"arbutin, kojic acid",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, La Roche Posay, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,sensitive,"azelaic acid, vitamin C",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, The Ordinary, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,normal,"allantoin, green tea",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, CeraVe, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,sensitive,"AHA, azelaic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Peter Thomas Roth, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"salicylic acid, niacinamide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Paula's Choice, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
scarring,oily,"coenzyme Q10, collagen",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Obagi, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,dry,"kojic acid, arbutin",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Augustinus Bader, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,sensitive,"centella asiatica, aloe vera",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Krave Beauty, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"kojic acid, azelaic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Paula's Choice, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,dry,"ceramides, panthenol",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Cosrx, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,normal,"ceramides, glycerin",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Babor, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,sensitive,"colloidal oatmeal, fatty acids",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Sunday Riley, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
large pores,combination,"benzoyl peroxide, azelaic acid",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Clarins, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
scarring,oily,"kojic acid, azelaic acid",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, LANEIGE, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,sensitive,"azelaic acid, vitamin C",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, 111Skin, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,combination,"ceramides, squalane",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Shiseido, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,oily,"tea tree oil, azelaic acid",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Olay, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"tea tree oil, salicylic acid",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Kiehl's, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,oily,"panthenol, squalane",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, SK-II, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
melasma,sensitive,"niacinamide, azelaic acid",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Drunk Elephant, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,dry,"ceramides, cholesterol",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Kiehl's, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,sensitive,"glycerin, hyaluronic acid",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Youth to the People, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,oily,"bakuchiol, peptides",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Olay, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,oily,"niacinamide, tranexamic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, 111Skin, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
peeling skin,normal,"squalane, ceramides",Helps improve peeling skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Murad, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,oily,"azelaic acid, benzoyl peroxide",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Biossance, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
back acne,dry,"tea tree oil, benzoyl peroxide",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Cetaphil, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,combination,"lanolin, cholesterol",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Clinique, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,combination,"aloe vera, green tea",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Cosrx, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,dry,"tea tree oil, azelaic acid",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, CeraVe, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,oily,"lanolin, cholesterol",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Peach & Lily, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,oily,"azelaic acid, tea tree oil",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, CeraVe, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,oily,"aloe vera, allantoin",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Bioderma, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,normal,"azelaic acid, benzoyl peroxide",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Neutrogena, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,normal,"vitamin C, azelaic acid",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Krave Beauty, Murad",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,oily,"centella asiatica, calendula",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Farmacy, Versed",Avoid mixing strong actives; discontinue if irritation occurs
body acne,sensitive,"salicylic acid, tea tree oil",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Dermalogica, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,dry,"vitamin C, tranexamic acid",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Peach & Lily, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,normal,"azelaic acid, AHA",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Aveeno, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,dry,"fatty acids, cholesterol",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Tatcha, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
redness,combination,"centella asiatica, calendula",Helps improve redness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Ren Clean Skincare, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,normal,"cholesterol, lanolin",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Guerlain, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,normal,"panthenol, glycerin",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Augustinus Bader, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,combination,"azelaic acid, kojic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Dermalogica, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,combination,"bakuchiol, retinol",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Cetaphil, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,dry,"fatty acids, lanolin",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Estee Lauder, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,oily,"kojic acid, arbutin",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Sunday Riley, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,combination,"ceramides, squalane",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Clarins, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,normal,"vitamin C, tranexamic acid",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, First Aid Beauty, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,combination,"vitamin C, niacinamide",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Peter Thomas Roth, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
scarring,dry,"collagen, peptides",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Clinique, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,combination,"azelaic acid, vitamin C",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, Avene, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,oily,"azelaic acid, salicylic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, Vichy, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,combination,"vitamin C, AHA",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Ren Clean Skincare, Avene",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,combination,"retinol, coenzyme Q10",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Clinique, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"panthenol, ceramides",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Kiehl's, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,dry,"kojic acid, azelaic acid",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Tatcha, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,combination,"azelaic acid, AHA",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, SK-II, Simple",Avoid mixing strong actives; discontinue if irritation occurs
large pores,dry,"green tea, aloe vera",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Shiseido, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,normal,"azelaic acid, vitamin C",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Estee Lauder, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,sensitive,"vitamin C, azelaic acid",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Obagi, Simple",Avoid mixing strong actives; discontinue if irritation occurs
back acne,sensitive,"tea tree oil, niacinamide",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Sulwhasoo, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,sensitive,"vitamin C, AHA",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Shiseido, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
melasma,normal,"niacinamide, vitamin C",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Ren Clean Skincare, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,dry,"kojic acid, AHA",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, La Roche Posay, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
acne,oily,"benzoyl peroxide, tea tree oil",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Cetaphil, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,normal,"vitamin C, azelaic acid",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, La Mer, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,dry,"kojic acid, vitamin C",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Paula's Choice, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,sensitive,"fatty acids, cholesterol",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, First Aid Beauty, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,normal,"azelaic acid, tea tree oil",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Ren Clean Skincare, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,dry,"coenzyme Q10, peptides",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Babor, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,dry,"squalane, hyaluronic acid",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, CeraVe, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,normal,"green tea, calendula",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, First Aid Beauty, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,normal,"niacinamide, salicylic acid",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, 111Skin, Murad",Avoid mixing strong actives; discontinue if irritation occurs
inflamed acne,dry,"niacinamide, benzoyl peroxide",Helps improve inflamed acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, 111Skin, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
scarring,dry,"azelaic acid, vitamin C",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, SK-II, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,oily,"arbutin, vitamin C",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Avene, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,oily,"bakuchiol, collagen",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Estee Lauder, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,normal,"centella asiatica, green tea",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, StriVectin, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,normal,"licorice root, azelaic acid",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Murad, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,oily,"squalane, hyaluronic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, CeraVe, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,combination,"salicylic acid, tea tree oil",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, La Mer, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"niacinamide, azelaic acid",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Ren Clean Skincare, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,dry,"azelaic acid, tea tree oil",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Avene, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,dry,"vitamin C, azelaic acid",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, La Roche Posay, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,dry,"vitamin C, kojic acid",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Murad, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,oily,"green tea, aloe vera",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, Drunk Elephant, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
body acne,combination,"tea tree oil, niacinamide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Shiseido, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"allantoin, green tea",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Olay, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,dry,"azelaic acid, benzoyl peroxide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Youth to the People, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,combination,"benzoyl peroxide, niacinamide",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Tatcha, Simple",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,combination,"coenzyme Q10, bakuchiol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Bioderma, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,normal,"tea tree oil, salicylic acid",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Guerlain, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,combination,"fatty acids, colloidal oatmeal",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, Versed, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,normal,"bakuchiol, collagen",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Tatcha, Olay",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,combination,"azelaic acid, kojic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Tatcha, Babor",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,normal,"ceramides, squalane",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Dermalogica, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"green tea, centella asiatica",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, Babor, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
melasma,sensitive,"licorice root, azelaic acid",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Clinique, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,oily,"panthenol, squalane",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Inkey List, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,combination,"bakuchiol, peptides",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Vichy, Murad",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,normal,"cholesterol, fatty acids",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Guerlain, Avene",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,sensitive,"benzoyl peroxide, azelaic acid",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Naturium, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,dry,"tea tree oil, salicylic acid",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, Clarins, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,oily,"azelaic acid, niacinamide",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Simple, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,combination,"ceramides, panthenol",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Farmacy, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"kojic acid, vitamin C",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Biossance, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
